did,best_dt,best_lr,agree
44,baseline,baseline,True
820,random_undersample,smote_enn,False
879,class_weight,smote,False
811,adasyn,smote_enn,False
25,class_weight,baseline,False
830,baseline,random_undersample,False
858,class_weight,class_weight,True
51,class_weight,class_weight,True
481,smote,baseline,False
59,smote_enn,random_undersample,False
839,baseline,smote,False
37,smote_enn,class_weight,False
50,class_weight,baseline,False
56,random_undersample,baseline,False
722,adasyn,baseline,False
470,smote_enn,class_weight,False
959,baseline,baseline,True
334,class_weight,smote_enn,False
1014,smote_enn,smote,False
833,smote_enn,baseline,False
846,smote,baseline,False
761,baseline,class_weight,False
735,smote,smote,True
31,adasyn,baseline,False
897,baseline,adasyn,False
13,smote_enn,class_weight,False
821,baseline,smote,False
843,baseline,smote,False
1003,baseline,class_weight,False
43,smote_enn,class_weight,False
728,smote,baseline,False
350,smote_enn,baseline,False
179,smote_enn,class_weight,False
957,baseline,baseline,True
934,adasyn,class_weight,False
337,smote_enn,baseline,False
312,adasyn,baseline,False
1004,smote,baseline,False
976,class_weight,smote,False
987,baseline,smote_enn,False
940,baseline,class_weight,False
968,smote_enn,random_undersample,False
336,smote_enn,smote_enn,True
949,smote_enn,baseline,False
958,adasyn,adasyn,True
765,class_weight,smote_enn,False
1065,adasyn,adasyn,True
767,class_weight,adasyn,False
764,smote,baseline,False
962,smote,adasyn,False
1002,random_undersample,class_weight,False
1019,class_weight,smote,False
954,baseline,baseline,True
757,adasyn,smote_enn,False
980,class_weight,baseline,False
1020,smote,smote,True
995,class_weight,baseline,False
1022,class_weight,baseline,False
978,class_weight,baseline,False
971,class_weight,class_weight,True
966,baseline,baseline,True
1016,baseline,adasyn,False
984,adasyn,adasyn,True
1451,smote,smote,True
1467,smote_enn,adasyn,False
1130,adasyn,smote_enn,False
1071,smote,baseline,False
1138,class_weight,smote,False
1443,smote_enn,smote,False
1000,class_weight,smote,False
1068,adasyn,adasyn,True
450,smote,smote_enn,False
1018,random_undersample,smote,False
1487,smote_enn,baseline,False
38,class_weight,baseline,False
1040,smote_enn,baseline,False
1139,smote_enn,smote_enn,True
1146,class_weight,smote_enn,False
311,baseline,adasyn,False
947,class_weight,random_undersample,False
977,class_weight,baseline,False
1142,class_weight,adasyn,False
1039,baseline,baseline,True
950,baseline,smote_enn,False
310,baseline,baseline,True
951,baseline,random_undersample,False
1056,baseline,baseline,True
1452,adasyn,adasyn,True
1069,smote_enn,random_undersample,False
316,smote,smote_enn,False
