did,name,method,pr_auc_mean,pr_auc_std,f1_mean,f1_std
44,spambase,baseline,0.8269828215918602,0.016605862755400644,0.8856444605398222,0.010803498252517404
44,spambase,class_weight,0.8156131034291872,0.014729604682119894,0.8774081722334885,0.011095308387973067
44,spambase,random_undersample,0.8090573917893942,0.01903520837224975,0.8758575546466251,0.0124329467817329
44,spambase,smote,0.818729575578622,0.01108401545951474,0.8813278159042323,0.010329138246372355
44,spambase,adasyn,0.8208142718044558,0.017164623283712686,0.8821868089781194,0.014752400237287461
44,spambase,smote_enn,0.8099003485986508,0.01053342545716191,0.8743417855256486,0.007348547945250068
820,chatfield_4,baseline,0.7411203148672684,0.09577621682555038,0.8045381645381646,0.08153706274528752
820,chatfield_4,class_weight,0.7163966654224213,0.10207430874554013,0.7755389284801051,0.0930162134870237
820,chatfield_4,random_undersample,0.7885126028958174,0.08401886706611009,0.8498484195078622,0.062409670443708896
820,chatfield_4,smote,0.7478088351179716,0.1035783831169311,0.8173342573342574,0.07765200853524157
820,chatfield_4,adasyn,0.738469409543521,0.09717252977102822,0.8106220506220506,0.07700505646736394
820,chatfield_4,smote_enn,0.7709308515241833,0.08556669598754905,0.8482967325072588,0.053733544397737164
879,fri_c2_500_25,baseline,0.6702274483040607,0.03905227928764033,0.7561608803077001,0.0443877967328789
879,fri_c2_500_25,class_weight,0.7202188546220804,0.057445116660871244,0.7995683262630277,0.04469177921565611
879,fri_c2_500_25,random_undersample,0.7016741081863033,0.05362975542265959,0.7896282929166824,0.0405836426576096
879,fri_c2_500_25,smote,0.6957966542933098,0.04756813578519993,0.7905235784814933,0.034842728115709126
879,fri_c2_500_25,adasyn,0.6916294683415426,0.033213223667305364,0.7836522010037992,0.016995470273212184
879,fri_c2_500_25,smote_enn,0.519575445701902,0.05587803461200533,0.6520163485420707,0.058848864526762946
811,rmftsa_ctoarrivals,baseline,0.8734950535506643,0.04221598927613467,0.9172327002622254,0.020662760354431525
811,rmftsa_ctoarrivals,class_weight,0.888221468645004,0.04348537088409005,0.9272327002622254,0.021961230844835655
811,rmftsa_ctoarrivals,random_undersample,0.8711704856987875,0.06933711998157474,0.9191678382949243,0.04196087112244451
811,rmftsa_ctoarrivals,smote,0.8796262305497657,0.04020804138380396,0.9225985539207618,0.018899283370195207
811,rmftsa_ctoarrivals,adasyn,0.8999203305797149,0.04094563707555349,0.9371855693561336,0.022222763236887037
811,rmftsa_ctoarrivals,smote_enn,0.8379586969358568,0.047308342902714656,0.8941183678988557,0.02369452444956697
25,colic,baseline,0.6361301742230516,0.030083230988465395,0.7373776800541809,0.04032585073941668
25,colic,class_weight,0.6838986146014139,0.04487956898424507,0.7754183289907574,0.035266457616572995
25,colic,random_undersample,0.6339325618092742,0.07201574549567127,0.7416731166150671,0.057822845126795
25,colic,smote,0.6237758168292682,0.06320318603807708,0.7288507180053235,0.052210548309771274
25,colic,adasyn,0.6264861520053743,0.048141470790339515,0.7267010747408553,0.04936467830197214
25,colic,smote_enn,0.5734088481500956,0.0562076771860248,0.6744711808494146,0.06021430983404874
830,fri_c2_250_10,baseline,0.7720790866054024,0.07668962578667891,0.8280845016139133,0.07514295831673276
830,fri_c2_250_10,class_weight,0.7541321527855664,0.1096277962735151,0.8146008795736563,0.10683838183242046
830,fri_c2_250_10,random_undersample,0.6928650793650794,0.11852628141596458,0.775965250965251,0.10516913142806616
830,fri_c2_250_10,smote,0.7194152046783626,0.0623843439410452,0.7967629967629968,0.05490615140699546
830,fri_c2_250_10,adasyn,0.7385904782296449,0.09854863499483735,0.8065507449332866,0.09090371600432297
830,fri_c2_250_10,smote_enn,0.6628306759300912,0.06045970605202073,0.7812230011250818,0.04207694750803101
858,hungarian,baseline,0.589809533974453,0.03746329756663936,0.6797579259905288,0.04450493751782718
858,hungarian,class_weight,0.6008794062445666,0.04798924552837286,0.6915176672438467,0.04287589838568891
858,hungarian,random_undersample,0.5584409364131904,0.0412530986632707,0.6746716010452708,0.04588913252555435
858,hungarian,smote,0.5789413423316038,0.04445957440955794,0.6803255789200172,0.036736553909359065
858,hungarian,adasyn,0.583051851773421,0.052741270014742006,0.6727989412199938,0.0496163705765651
858,hungarian,smote_enn,0.5395340887826082,0.07933630571286737,0.6436451858424876,0.11372573269180788
51,heart-h,baseline,0.589809533974453,0.03746329756663936,0.6797579259905288,0.04450493751782718
51,heart-h,class_weight,0.6008794062445666,0.04798924552837286,0.6915176672438467,0.04287589838568891
51,heart-h,random_undersample,0.5584409364131904,0.0412530986632707,0.6746716010452708,0.04588913252555435
51,heart-h,smote,0.5789413423316038,0.04445957440955794,0.6803255789200172,0.036736553909359065
51,heart-h,adasyn,0.583051851773421,0.052741270014742006,0.6727989412199938,0.0496163705765651
51,heart-h,smote_enn,0.5395340887826082,0.07933630571286737,0.6436451858424876,0.11372573269180788
481,biomed,baseline,0.7654695274772296,0.06671381845771035,0.8387642377906068,0.032415164106630305
481,biomed,class_weight,0.7289203768228159,0.056518291663986926,0.818927738927739,0.023193367771017607
481,biomed,random_undersample,0.6652952682998745,0.0686246251805703,0.7819671504965623,0.05253440540295919
481,biomed,smote,0.7735716742837486,0.06756730884422198,0.8472895022549867,0.05683875842517844
481,biomed,adasyn,0.6704820081739208,0.08946029801305602,0.7709005261946439,0.07251025296727646
481,biomed,smote_enn,0.7119916865334067,0.07433379145558373,0.79268154158215,0.06158894632810212
59,ionosphere,baseline,0.7430320798042537,0.07926405515390705,0.8123149515125199,0.06902660394688145
59,ionosphere,class_weight,0.7212137474120083,0.06614091730320355,0.79343961352657,0.05876490536887561
59,ionosphere,random_undersample,0.7485818651335893,0.058107409169014086,0.83248799078728,0.04611064999993974
59,ionosphere,smote,0.7311682865282865,0.03593241796814546,0.8223577042152893,0.03211644198690043
59,ionosphere,adasyn,0.7295565289882532,0.0535577013529656,0.8210476518092618,0.035701250360866334
59,ionosphere,smote_enn,0.8210300771692076,0.06565366957294608,0.8615572001233426,0.049709647128574945
839,kdd_el_nino-small,baseline,0.8472801597650316,0.028253783542646904,0.901777716016148,0.018491851470802848
839,kdd_el_nino-small,class_weight,0.8284592404790952,0.050541178254192,0.8908006316855875,0.033512824557227906
839,kdd_el_nino-small,random_undersample,0.7952648561856966,0.036992432205160845,0.876518920027166,0.028745930892041596
839,kdd_el_nino-small,smote,0.8410304349605221,0.03571503714412206,0.8955072805891261,0.024605933916220762
839,kdd_el_nino-small,adasyn,0.8011928727050416,0.062266841469151984,0.8731000421671851,0.039429081982231856
839,kdd_el_nino-small,smote_enn,0.7935711797437411,0.04200625499043927,0.8693467104403897,0.030006549303516542
37,diabetes,baseline,0.48022191564116046,0.04025880132461789,0.5749678802915777,0.047674393844616886
37,diabetes,class_weight,0.47743222212771474,0.05622805610337217,0.557106091917603,0.06718670426459021
37,diabetes,random_undersample,0.4790216591857459,0.03038599828436138,0.6035087838723233,0.03782044149638965
37,diabetes,smote,0.46349564142675376,0.0317207133061021,0.567062718881648,0.04728903283436778
37,diabetes,adasyn,0.4660958808140703,0.03879553479127098,0.5739013041893368,0.04210690609490849
37,diabetes,smote_enn,0.531426338214692,0.04608530007777294,0.6634014451150331,0.039863158740516214
50,tic-tac-toe,baseline,0.8005970565127811,0.049346769528543465,0.8663234983809314,0.03778786862136398
50,tic-tac-toe,class_weight,0.8202285028394009,0.037079543849020846,0.8794610772884809,0.02924705232038836
50,tic-tac-toe,random_undersample,0.7623245465147394,0.056983870989617026,0.846134096213976,0.04149087918035291
50,tic-tac-toe,smote,0.8111057647908082,0.028145684647558258,0.8736861086418035,0.017378508199901964
50,tic-tac-toe,adasyn,0.8129373089115175,0.033607350774303005,0.8728939665418262,0.022738704636989567
50,tic-tac-toe,smote_enn,0.6042752857739991,0.05331838183034338,0.7093559762262053,0.05028943705371746
56,vote,baseline,0.8115642932468944,0.05981137225323273,0.8541875881728405,0.024719336481192414
56,vote,class_weight,0.8274514024249184,0.04468074371727618,0.8638611818844376,0.025837561505338027
56,vote,random_undersample,0.8693483062988605,0.06156364474186073,0.904788970133508,0.02956535971777316
56,vote,smote,0.8177247769250677,0.05281727452333939,0.8581468641909401,0.02060332675725428
56,vote,adasyn,0.8538754255465401,0.06315412765943114,0.8819197446420428,0.03170145540474893
56,vote,smote_enn,0.8453880254934504,0.058152996709956314,0.9063784522832924,0.03760647205319268
722,pol,baseline,0.9468308512664869,0.0008606803323195703,0.9676374397135046,0.0007721706443425917
722,pol,class_weight,0.9468578707820464,0.006441094777845648,0.9670556795119968,0.0033915870206889897
722,pol,random_undersample,0.9332045577351147,0.004469483321452505,0.9615564796840911,0.0027992343261693084
722,pol,smote,0.9407590033054959,0.0065402838098736074,0.9638664786994966,0.0038204766043512806
722,pol,adasyn,0.9480787945727526,0.0035055075816478906,0.9692686457152385,0.0016039107449407318
722,pol,smote_enn,0.9315166365784121,0.008838056737735675,0.9598901811955607,0.004505239345169254
470,profb,baseline,0.3585295618447942,0.025444039492722503,0.38894014676192895,0.06365881759004205
470,profb,class_weight,0.35722397802660427,0.02030928279435153,0.38165856193622627,0.05197195799739489
470,profb,random_undersample,0.3674451735651002,0.04307507336407839,0.4487085252647026,0.08458613610122967
470,profb,smote,0.36577696598592124,0.025949331656958237,0.4145590781076402,0.05406421704554179
470,profb,adasyn,0.3488340102473503,0.02392323290095682,0.39249738356881214,0.0541244143813732
470,profb,smote_enn,0.3736313112832007,0.021725633495797203,0.4759730164709105,0.04426307383405074
959,nursery,baseline,1.0,0.0,1.0,0.0
959,nursery,class_weight,1.0,0.0,1.0,0.0
959,nursery,random_undersample,1.0,0.0,1.0,0.0
959,nursery,smote,1.0,0.0,1.0,0.0
959,nursery,adasyn,1.0,0.0,1.0,0.0
959,nursery,smote_enn,1.0,0.0,1.0,0.0
334,monks-problems-2,baseline,0.8938768079465754,0.07312008284742241,0.9414071190211345,0.04139324971237043
334,monks-problems-2,class_weight,0.9240909090909092,0.04559674726207499,0.9599703374119393,0.024384532799981783
334,monks-problems-2,random_undersample,0.592865348975332,0.10132008619220946,0.7235891921698373,0.08395270077745096
334,monks-problems-2,smote,0.7362103292019782,0.0930260157586675,0.8367536418226116,0.060767981302130764
334,monks-problems-2,adasyn,0.6847651740926635,0.1303132471515316,0.7805078804687517,0.1097611187695767
334,monks-problems-2,smote_enn,0.403893203403332,0.03311017221809898,0.5152045342228811,0.0624410085745149
1014,analcatdata_dmft,baseline,0.28400980522764846,0.014796050676980905,0.04957393483709273,0.03167761171118095
1014,analcatdata_dmft,class_weight,0.29026494828208327,0.011823600320570603,0.09770798532178829,0.05533163250467809
1014,analcatdata_dmft,random_undersample,0.26994379872524754,0.013617884179891803,0.2079945067495892,0.07987050389412734
1014,analcatdata_dmft,smote,0.2808989110854137,0.006200085154722026,0.09586751510096458,0.024930902005783656
1014,analcatdata_dmft,adasyn,0.2822664030275971,0.007409291422471074,0.06806285501937676,0.037615914659811296
1014,analcatdata_dmft,smote_enn,0.30306734302344485,0.030864868641090185,0.3597113357129599,0.06622553944230207
833,bank32nh,baseline,0.4635374461578724,0.007263145644200114,0.5763629020156517,0.008567737013381546
833,bank32nh,class_weight,0.456949542788543,0.011063439040602419,0.5659938194788765,0.01291015075734005
833,bank32nh,random_undersample,0.454342241912575,0.010923420347355078,0.5943482515091485,0.014053929152140068
833,bank32nh,smote,0.45128796479449784,0.008359763283046493,0.5742485905555036,0.012114068081933469
833,bank32nh,adasyn,0.44523911621519086,0.013597475638761927,0.567899365455256,0.0158459671696756
833,bank32nh,smote_enn,0.47991885004051704,0.014497612563994598,0.6329744882676682,0.01674398254388344
846,elevators,baseline,0.5688087242849654,0.004214379835184396,0.6889906936110438,0.005537787724710637
846,elevators,class_weight,0.5589688750619771,0.011614128353371781,0.67691029724617,0.011543743927610385
846,elevators,random_undersample,0.5205651732300709,0.0036208045542341074,0.6633336362516645,0.003529872529433621
846,elevators,smote,0.5801915161158587,0.004270011437166294,0.7011151718840903,0.0033333590042633975
846,elevators,adasyn,0.577379699689833,0.0037815890165027134,0.699557903213122,0.0026772312903766047
846,elevators,smote_enn,0.526665195382499,0.0045237606687433965,0.6619203546562284,0.004022749416731468
761,cpu_act,baseline,0.755194814750741,0.009477857535671052,0.840409176422664,0.006118987383513618
761,cpu_act,class_weight,0.745129233384126,0.007802850407922001,0.8333849811256652,0.005123754290277214
761,cpu_act,random_undersample,0.7228908158353643,0.019066819828469757,0.8277503058823295,0.012782102634157359
761,cpu_act,smote,0.749552650851906,0.0241920387506892,0.8410428385998655,0.016263352415901523
761,cpu_act,adasyn,0.7422474828104493,0.008164787479072101,0.8359531980384143,0.007350393169584213
761,cpu_act,smote_enn,0.6972586160622104,0.008962086366409461,0.8094224948844009,0.00536298022679041
735,cpu_small,baseline,0.7084600893498009,0.015231058588327006,0.8068103343025405,0.012995522474407191
735,cpu_small,class_weight,0.7095559880497342,0.008884091895165593,0.8078684277542714,0.006538563326320536
735,cpu_small,random_undersample,0.6903715785796344,0.008893566978600786,0.8045063372599295,0.006236307096301516
735,cpu_small,smote,0.7204298480975634,0.01551632943963385,0.8193933316525328,0.012350690036681928
735,cpu_small,adasyn,0.7070841960243458,0.011283169496017806,0.8091002914731662,0.007957900212182692
735,cpu_small,smote_enn,0.6588547306096821,0.016343762148965883,0.7827413067465769,0.013084909173562337
31,credit-g,baseline,0.37047845355228154,0.012194771092364061,0.4564476693311662,0.025031713971725777
31,credit-g,class_weight,0.3792560486182778,0.015011992785723259,0.47007192369034473,0.023308479890238733
31,credit-g,random_undersample,0.3511367740768177,0.02079091170739796,0.4554126762826563,0.041787271202447455
31,credit-g,smote,0.4007051955141625,0.014934006851677475,0.5036972705179206,0.023489701953560094
31,credit-g,adasyn,0.43295567814833325,0.030811204227783544,0.5508455673810004,0.039509338394491604
31,credit-g,smote_enn,0.3786652652902653,0.0316081339570045,0.4883158905248667,0.04547790285899081
897,colleges_aaup,baseline,0.9358597982938349,0.028293826928821722,0.9614134695269237,0.01570945732715696
897,colleges_aaup,class_weight,0.9179295586902116,0.02062472329266864,0.9516285874358082,0.012089371586225774
897,colleges_aaup,random_undersample,0.9048840862056519,0.032974429978569725,0.9453269760274005,0.019214917424594843
897,colleges_aaup,smote,0.9254838282928919,0.024662771018114003,0.9540821299683546,0.011841348082401363
897,colleges_aaup,adasyn,0.9124695696173172,0.03694617303131444,0.9493284289396335,0.021548711868961873
897,colleges_aaup,smote_enn,0.886465069456175,0.04149751375247436,0.9320656686152656,0.025004506808912228
13,breast-cancer,baseline,0.31867701180684926,0.03226464591279916,0.3511255411255411,0.10212784579750883
13,breast-cancer,class_weight,0.31907513068358656,0.032944076199207,0.36970607129650374,0.05549927848901867
13,breast-cancer,random_undersample,0.3187540077886008,0.04493762317858301,0.39283778552071236,0.09392526242503749
13,breast-cancer,smote,0.3341755181272402,0.035897482806540426,0.3774776362157766,0.0820690536408478
13,breast-cancer,adasyn,0.32784370243977445,0.02641586344924804,0.3541083916083917,0.08764671442760157
13,breast-cancer,smote_enn,0.37305497770203655,0.03357948817738702,0.4945098408513043,0.06110246733525899
821,house_16H,baseline,0.6038660775305307,0.008770131909490523,0.7224544709641771,0.007462860816287117
821,house_16H,class_weight,0.6020346574418101,0.01159391696798686,0.7191565389249576,0.009012395541460865
821,house_16H,random_undersample,0.5767746515285044,0.005138275118928878,0.7164153580382061,0.004364851529376946
821,house_16H,smote,0.5924181005418336,0.010000908767528672,0.7238776576574859,0.00926083629260017
821,house_16H,adasyn,0.5752941312065388,0.007925055249407105,0.7111503222306123,0.006804474548734257
821,house_16H,smote_enn,0.5708479347658721,0.011191598569863632,0.7110869088961387,0.009164455904655993
843,house_8L,baseline,0.6101571666850152,0.008756742472214654,0.7274467874337972,0.007917556293581755
843,house_8L,class_weight,0.6089794022901692,0.012089511744219203,0.7254181680984153,0.008646110657885283
843,house_8L,random_undersample,0.5781254237572238,0.005184854740120809,0.7171753315703079,0.004033424813688422
843,house_8L,smote,0.6086093408193018,0.01102570452518081,0.7373673276785481,0.009688110157895044
843,house_8L,adasyn,0.5936631323578141,0.0056566227541437804,0.727498306796253,0.004713086085214595
843,house_8L,smote_enn,0.5926772886159182,0.012463770239358086,0.7295331145782976,0.010641308477256447
1003,primary-tumor,baseline,0.47874854226440905,0.0871798437863218,0.5834672284570864,0.10147901357210849
1003,primary-tumor,class_weight,0.4743839126559715,0.07095257885453271,0.588063063063063,0.07310770567129303
1003,primary-tumor,random_undersample,0.4567830021024428,0.040049646703696325,0.6004642541227907,0.04052257927712867
1003,primary-tumor,smote,0.4536845199266117,0.07726560178347908,0.5669950738916256,0.09729170043695129
1003,primary-tumor,adasyn,0.4305176851442331,0.03798839954938022,0.5339617371875436,0.03756911662339163
1003,primary-tumor,smote_enn,0.43424062607499136,0.0631006840838026,0.5707790758579854,0.06603106071687824
43,haberman,baseline,0.3122709112449357,0.03063143567432521,0.35075115207373275,0.06617912263388055
43,haberman,class_weight,0.30447003939126493,0.03844180400064441,0.3323815968977259,0.08407632901808224
43,haberman,random_undersample,0.3028900613682961,0.029239380308577565,0.405693565220041,0.03927086483525349
43,haberman,smote,0.2941263629138616,0.03939063974697629,0.31427637721755375,0.10171793826149618
43,haberman,adasyn,0.2922515480894531,0.03763846756819801,0.3104615822719271,0.11293242536777737
43,haberman,smote_enn,0.32930624301087097,0.03323124192499419,0.44126855600539805,0.052964819285039016
728,analcatdata_supreme,baseline,0.8032949245866714,0.03154953684138168,0.8774662064998562,0.026630951393506196
728,analcatdata_supreme,class_weight,0.8179112793948937,0.04315051808139417,0.8784182870355931,0.0341815778074853
728,analcatdata_supreme,random_undersample,0.7733464614762029,0.025644949753945216,0.8659187677645068,0.014836164583891783
728,analcatdata_supreme,smote,0.8189909156890705,0.02710744990377599,0.8852356695029109,0.023311541549793865
728,analcatdata_supreme,adasyn,0.7972049381131682,0.04524162716245244,0.8705832958464537,0.03031864128533759
728,analcatdata_supreme,smote_enn,0.7675428100696218,0.0575431087681416,0.863143364655792,0.04113370858347896
350,webdata_wXa,baseline,0.3608204432153885,0.006380357282784778,0.46834407031955,0.010910840140228365
350,webdata_wXa,class_weight,0.3544130830942388,0.009944070625843772,0.4773571894029396,0.013621260320608152
350,webdata_wXa,random_undersample,0.39092001833332624,0.006570510538875007,0.5440994064253285,0.00778998283210424
350,webdata_wXa,smote,0.3595071754850162,0.0057616738046422505,0.46616321679587447,0.006816696094883481
