did,name,best_method,best_pr_auc,best_f1
44,spambase,baseline,0.827,0.8856
820,chatfield_4,random_undersample,0.7885,0.8498
879,fri_c2_500_25,class_weight,0.7202,0.7996
811,rmftsa_ctoarrivals,adasyn,0.8999,0.9372
25,colic,class_weight,0.6839,0.7754
830,fri_c2_250_10,baseline,0.7721,0.8281
858,hungarian,class_weight,0.6009,0.6915
51,heart-h,class_weight,0.6009,0.6915
481,biomed,smote,0.7736,0.8473
59,ionosphere,smote_enn,0.821,0.8616
839,kdd_el_nino-small,baseline,0.8473,0.9018
37,diabetes,smote_enn,0.5314,0.6634
50,tic-tac-toe,class_weight,0.8202,0.8795
56,vote,random_undersample,0.8693,0.9048
722,pol,adasyn,0.9481,0.9693
470,profb,smote_enn,0.3736,0.476
959,nursery,baseline,1.0,1.0
334,monks-problems-2,class_weight,0.9241,0.96
1014,analcatdata_dmft,smote_enn,0.3031,0.3597
833,bank32nh,smote_enn,0.4799,0.633
846,elevators,smote,0.5802,0.7011
761,cpu_act,baseline,0.7552,0.8404
735,cpu_small,smote,0.7204,0.8194
31,credit-g,adasyn,0.433,0.5508
897,colleges_aaup,baseline,0.9359,0.9614
13,breast-cancer,smote_enn,0.3731,0.4945
821,house_16H,baseline,0.6039,0.7225
843,house_8L,baseline,0.6102,0.7274
1003,primary-tumor,baseline,0.4787,0.5835
43,haberman,smote_enn,0.3293,0.4413
728,analcatdata_supreme,smote,0.819,0.8852
350,webdata_wXa,smote_enn,0.4423,0.6112
179,adult,smote_enn,0.4459,0.5995
957,braziltourism,baseline,0.3198,0.4373
934,socmob,adasyn,0.7708,0.8615
337,SPECTF,smote_enn,0.3676,0.5357
312,scene,adasyn,0.7865,0.8756
1004,synthetic_control,smote,0.9738,0.9849
976,JapaneseVowels,class_weight,0.8628,0.9215
987,collins,baseline,0.9895,0.9935
940,water-treatment,baseline,0.9554,0.9757
968,analcatdata_birthday,smote_enn,0.5056,0.6733
336,SPECT,smote_enn,0.2134,0.3595
949,arsenic-female-bladder,smote_enn,0.2651,0.4336
958,segment,adasyn,0.9598,0.9784
765,analcatdata_apnea2,class_weight,0.5437,0.6922
1065,kc3,adasyn,0.2785,0.4374
767,analcatdata_apnea1,class_weight,0.4821,0.6533
764,analcatdata_apnea3,smote,0.4731,0.6503
962,mfeat-morphological,smote,0.9768,0.9874
1002,ipums_la_98-small,random_undersample,0.2039,0.363
1019,pendigits,class_weight,0.9106,0.9513
954,spectrometer,baseline,0.6527,0.7862
757,meta,adasyn,0.2906,0.4615
980,optdigits,class_weight,0.8327,0.9056
1020,mfeat-karhunen,smote,0.7704,0.8701
995,mfeat-zernike,class_weight,0.8238,0.9003
1022,mfeat-pixel,class_weight,0.9213,0.9575
978,mfeat-factors,class_weight,0.9044,0.9478
971,mfeat-fourier,class_weight,0.9447,0.9702
966,analcatdata_halloffame,baseline,0.4018,0.6017
1016,vowel,baseline,0.843,0.91
984,analcatdata_draft,adasyn,0.138,0.2271
1451,PieChart1,smote,0.252,0.4343
1467,climate-model-simulation-crashes,smote_enn,0.1867,0.3456
1130,OVA_Lung,adasyn,0.7454,0.8531
1071,mw1,smote,0.152,0.259
1138,OVA_Uterus,class_weight,0.3426,0.5439
1443,PizzaCutter1,smote_enn,0.2066,0.37
1000,hypothyroid,class_weight,0.9646,0.9812
1068,pc1,adasyn,0.1548,0.3177
450,analcatdata_lawsuit,smote,0.8471,0.9092
1018,ipums_la_99-small,random_undersample,0.1505,0.2899
1487,ozone-level-8hr,smote_enn,0.1755,0.3483
38,sick,class_weight,0.8267,0.9056
1040,sylva_prior,smote_enn,0.8795,0.9361
1139,OVA_Omentum,smote_enn,0.2464,0.4387
1146,OVA_Prostate,class_weight,0.8411,0.9114
311,oil_spill,baseline,0.2655,0.4764
947,arsenic-male-bladder,class_weight,0.3301,0.54
977,letter,class_weight,0.8604,0.9257
1142,OVA_Endometrium,class_weight,0.2381,0.4622
1039,hiva_agnostic,baseline,0.1119,0.2805
950,arsenic-female-lung,baseline,0.6414,0.7667
310,mammography,baseline,0.4082,0.6264
951,arsenic-male-lung,baseline,1.0,1.0
1056,mc1,baseline,0.1581,0.2775
1452,PieChart2,adasyn,0.1656,0.3227
1069,pc2,smote_enn,0.038,0.1006
316,yeast_ml8,smote,0.0557,0.0923
