did,name,licence
44,spambase,Public
820,chatfield_4,Public
879,fri_c2_500_25,Public
811,rmftsa_ctoarrivals,Public
25,colic,Public
830,fri_c2_250_10,Public
858,hungarian,Public
51,heart-h,Public
481,biomed,Public
59,ionosphere,Public
839,kdd_el_nino-small,Public
37,diabetes,Public
50,tic-tac-toe,Public
56,vote,Public
722,pol,Public
470,profb,Public
959,nursery,Public
334,monks-problems-2,Public
1014,analcatdata_dmft,Public
833,bank32nh,Public
846,elevators,Public
761,cpu_act,Public
735,cpu_small,Public
31,credit-g,Public
897,colleges_aaup,Public
13,breast-cancer,Public
821,house_16H,Public
843,house_8L,Public
1003,primary-tumor,Public
43,haberman,Public
728,analcatdata_supreme,Public
350,webdata_wXa,Public
179,adult,Public
957,braziltourism,Public
934,socmob,Public
337,SPECTF,Public
312,scene,Public
1004,synthetic_control,Public
976,JapaneseVowels,Public
987,collins,Public
940,water-treatment,Public
968,analcatdata_birthday,Public
336,SPECT,Public
949,arsenic-female-bladder,Public
958,segment,Public
765,analcatdata_apnea2,Public
1065,kc3,Public
767,analcatdata_apnea1,Public
764,analcatdata_apnea3,Public
962,mfeat-morphological,Public
1002,ipums_la_98-small,Public
1019,pendigits,Public
954,spectrometer,Public
757,meta,Public
980,optdigits,Public
1020,mfeat-karhunen,Public
995,mfeat-zernike,Public
1022,mfeat-pixel,Public
978,mfeat-factors,Public
971,mfeat-fourier,Public
966,analcatdata_halloffame,Public
1016,vowel,Public
984,analcatdata_draft,Public
1451,PieChart1,Public
1467,climate-model-simulation-crashes,Public
1130,OVA_Lung,Public
1071,mw1,Public
1138,OVA_Uterus,Public
1443,PizzaCutter1,Public
1000,hypothyroid,Public
1068,pc1,Public
450,analcatdata_lawsuit,Public
1018,ipums_la_99-small,Public
1487,ozone-level-8hr,Public
38,sick,Public
1040,sylva_prior,Public
1139,OVA_Omentum,Public
1146,OVA_Prostate,Public
311,oil_spill,Public
947,arsenic-male-bladder,Public
977,letter,Public
1142,OVA_Endometrium,Public
1039,hiva_agnostic,Public
950,arsenic-female-lung,Public
310,mammography,Public
951,arsenic-male-lung,Public
1056,mc1,Public
1452,PieChart2,Public
1069,pc2,Public
316,yeast_ml8,Public
