did,name,n_rows,n_features,n_classes,imbalance_ratio,ir_band,missing_fraction,processed_path,source
44,spambase,4210,57,2,1.5074,light,0.0,data\processed\44.csv,openml
820,chatfield_4,235,12,2,1.5269,light,0.0,data\processed\820.csv,openml
879,fri_c2_500_25,500,25,2,1.551,light,0.0,data\processed\879.csv,openml
811,rmftsa_ctoarrivals,264,2,2,1.6139,light,0.0,data\processed\811.csv,openml
25,colic,368,26,2,1.7059,light,0.2014,data\processed\25.csv,openml
830,fri_c2_250_10,250,10,2,1.7473,light,0.0,data\processed\830.csv,openml
858,hungarian,293,13,2,1.7642,light,0.2046,data\processed\858.csv,openml
51,heart-h,293,13,2,1.7642,light,0.2046,data\processed\51.csv,openml
481,biomed,209,8,2,1.7867,light,0.009,data\processed\481.csv,openml
59,ionosphere,350,34,2,1.8,light,0.0,data\processed\59.csv,openml
839,kdd_el_nino-small,782,8,2,1.854,light,0.0745,data\processed\839.csv,openml
37,diabetes,768,8,2,1.8657,light,0.0,data\processed\37.csv,openml
50,tic-tac-toe,958,9,2,1.8855,light,0.0,data\processed\50.csv,openml
56,vote,342,16,2,1.9231,light,0.0563,data\processed\56.csv,openml
722,pol,14958,48,2,1.9821,light,0.0,data\processed\722.csv,openml
470,profb,672,9,2,2.0,light,0.1984,data\processed\470.csv,openml
959,nursery,12960,8,2,2.0,light,0.0,data\processed\959.csv,openml
334,monks-problems-2,432,6,2,2.0423,light,0.0,data\processed\334.csv,openml
1014,analcatdata_dmft,335,4,2,2.1905,light,0.0,data\processed\1014.csv,openml
833,bank32nh,8192,32,2,2.2214,light,0.0,data\processed\833.csv,openml
846,elevators,16599,18,2,2.2357,light,0.0,data\processed\846.csv,openml
761,cpu_act,8192,21,2,2.3072,light,0.0,data\processed\761.csv,openml
735,cpu_small,8192,12,2,2.3072,light,0.0,data\processed\735.csv,openml
31,credit-g,1000,20,2,2.3333,light,0.0,data\processed\31.csv,openml
897,colleges_aaup,1161,15,2,2.3362,light,0.0147,data\processed\897.csv,openml
13,breast-cancer,272,9,2,2.358,light,0.0035,data\processed\13.csv,openml
821,house_16H,22783,16,2,2.3788,light,0.0,data\processed\821.csv,openml
843,house_8L,22783,8,2,2.3788,light,0.0,data\processed\843.csv,openml
1003,primary-tumor,285,17,2,2.5185,light,0.039,data\processed\1003.csv,openml
43,haberman,289,3,2,2.6582,light,0.0,data\processed\43.csv,openml
728,analcatdata_supreme,573,7,2,3.0352,medium,0.0,data\processed\728.csv,openml
350,webdata_wXa,36974,123,2,3.1666,medium,0.0,data\processed\350.csv,openml
179,adult,48655,14,2,3.1717,medium,0.0095,data\processed\179.csv,openml
957,braziltourism,412,8,2,3.383,medium,0.0291,data\processed\957.csv,openml
934,socmob,1156,5,2,3.5156,medium,0.0,data\processed\934.csv,openml
337,SPECTF,267,44,2,3.8545,medium,0.0,data\processed\337.csv,openml
312,scene,2400,299,2,4.5814,medium,0.0,data\processed\312.csv,openml
1004,synthetic_control,600,60,2,5.0,medium,0.0,data\processed\1004.csv,openml
976,JapaneseVowels,9961,14,2,5.1716,medium,0.0,data\processed\976.csv,openml
987,collins,500,22,2,5.25,medium,0.0,data\processed\987.csv,openml
940,water-treatment,527,36,2,5.5875,medium,0.0286,data\processed\940.csv,openml
968,analcatdata_birthday,365,3,2,5.8868,medium,0.0274,data\processed\968.csv,openml
336,SPECT,228,22,2,5.9091,medium,0.0,data\processed\336.csv,openml
