did,true_method,pred_method,proba_adasyn,proba_baseline,proba_class_weight,proba_random_undersample,proba_smote,proba_smote_enn
44,baseline,baseline,0.1517715359932105,0.4172972042087811,0.08079194311301321,0.002407576285826109,0.15857208931140168,0.18915965108776744
820,random_undersample,adasyn,0.4801047086701949,0.01670054840954557,0.01653688306961944,0.001552052342053554,0.4618467850422966,0.023259022466289907
879,class_weight,class_weight,0.05746022882401952,0.33461329426720626,0.3850556915995905,0.0009803453822763723,0.028276018497762317,0.1936144214291451
811,adasyn,smote,0.0013825122590743028,0.006006638299258287,0.041416537036971554,0.018597890294775418,0.8706597450673378,0.06193667704258258
25,class_weight,class_weight,0.09662062120002492,0.23548699588646216,0.641356157409295,0.000593222793713171,0.0025360744118307337,0.023406928298674124
830,baseline,class_weight,0.003433789282941123,0.04844139947968349,0.7539194439104866,0.0037380855714429406,0.04380419795112158,0.14666308380432422
858,class_weight,class_weight,0.002510207720642535,0.0019200146771989103,0.9865120203943125,0.0002612473702899931,0.0010517770248644816,0.007744732812691525
51,class_weight,class_weight,0.002510207720642535,0.0019200146771989103,0.9865120203943125,0.0002612473702899931,0.0010517770248644816,0.007744732812691525
481,smote,baseline,0.008551012161247174,0.9255525263792803,0.006139650979354193,0.022120408832736152,0.018283710944243317,0.01935269070313864
59,smote_enn,adasyn,0.3558884917728314,0.20316033886141324,0.0559520781237335,0.27986634865745647,0.09268823104104613,0.012444511543519318
839,baseline,baseline,0.02426871178701239,0.5669326482558199,0.012633179853957385,0.007415804023661518,0.30214903249574837,0.08660062358380038
37,smote_enn,baseline,0.015759333052176482,0.8452171014457006,0.042221300674915495,0.0002324870706190204,0.002484772308783951,0.09408500544780468
50,class_weight,smote_enn,0.07815663706629068,0.23882882418279647,0.12322173473518586,0.0003506346316577494,0.005055231676433174,0.5543869377076361
56,random_undersample,class_weight,0.004144613483202255,0.34716620860826475,0.6118747709623954,0.0022871729613798786,0.0036785956737835235,0.03084863831097427
722,adasyn,class_weight,0.015531294426836668,0.03183450035710383,0.5277473529036483,0.3610349833960247,0.03275076247106763,0.03110110644531897
470,smote_enn,smote_enn,0.15375366926033737,0.015775303673187805,0.05127243102953988,0.0004906275756055736,0.006282579228322863,0.7724253892330064
959,baseline,class_weight,0.007623508490038676,0.03886700469154038,0.9080613032672655,0.0004592588048156975,0.03259920202878149,0.012389722717558284
334,class_weight,smote_enn,0.030357649426612527,0.031692759197823085,0.16100072564374943,2.144833394476501e-05,0.0018011955105032788,0.7751262218873669
1014,smote_enn,smote_enn,0.019180085760795582,0.022914405246141877,0.03000216518329152,0.0002375187026539594,0.010955465809167364,0.9167103592979496
833,smote_enn,smote_enn,0.02487464797846911,0.14701130464620452,0.06075747840181401,0.00020958501661386803,0.012636031814041599,0.7545109521428568
846,smote,smote_enn,0.030042554187225647,0.10472555556831369,0.00986554972246156,0.00504806454106337,0.001851901819852466,0.8484663741610834
761,baseline,smote,0.07485580129586457,0.3086089546859363,0.050952638814006086,0.013861568852646429,0.44139481674182124,0.11032621960972548
735,smote,baseline,0.004780362990049489,0.9823147658821253,0.0035621314718334903,0.0004822057732768128,0.0040655932513720345,0.004794940631342792
31,adasyn,smote_enn,0.025667610826585047,0.03525716134367313,0.007129687928211605,7.975117796485224e-05,0.004148580841646166,0.9277172078819192
897,baseline,baseline,0.0027056034981279213,0.8289327473890284,0.009470741228038069,0.019275485389098696,0.12079588014798928,0.018819542347717624
13,smote_enn,smote_enn,0.004095703253332209,0.11730752798187942,0.006460215638701306,9.841004379741158e-05,0.01670202650112698,0.8553361165811626
821,baseline,baseline,0.055555260567714024,0.8009588210141122,0.05731863070903845,0.0008184847327713907,0.022751434120910553,0.06259736885545354
843,baseline,baseline,0.006581620235437707,0.7225606541284425,0.007516632193231026,0.00023747333026407226,0.050850338968426737,0.21225328114419809
1003,baseline,smote_enn,0.008830183781898465,0.0057234787710682715,0.010806371942411156,0.006389411068120173,0.011808539309469346,0.9564420151270326
43,smote_enn,smote_enn,0.00306593330801253,0.02536505954332668,0.0037013118107297165,0.00014921571081940796,0.005131578620471418,0.9625869010066402
728,smote,class_weight,0.018618517403485673,0.19435661257955333,0.4293552362958415,0.005353982566422788,0.006163992430358461,0.34615165872433823
350,smote_enn,smote_enn,0.01814067586769383,0.3207970445490772,0.10710157295826181,0.0774227422349878,0.08756532810653882,0.3889726362834407
179,smote_enn,smote,0.03040892045608061,0.3416123487810144,0.04803197904298022,0.0054183441724487795,0.4224085047602562,0.15211990278721974
957,baseline,smote_enn,0.08236446290468837,0.003209237592271441,0.0028021588345861965,3.687698809332052e-05,0.003108754013256889,0.9084785096671038
934,adasyn,baseline,0.004210165263582286,0.8371737959485988,0.007200710680322101,0.006858616471330402,0.129813235806718,0.014743475829448413
337,smote_enn,class_weight,0.012129739026881943,0.022484710816176215,0.5362663578480016,0.0002651454115382978,0.08382996766239469,0.3450240792350073
312,adasyn,class_weight,0.0022258652435659465,0.012878240196980454,0.8129493029971745,0.00017582292091723406,0.001565850804043009,0.170204917837319
1004,smote,baseline,0.0013108979684501847,0.9041237168480674,0.07545955554314066,0.0002345120990939047,0.011117149641116172,0.007754167900131653
